0|345|2
0|312|4
0|309|0
0|300|0
0|345|5
1|324|2
1|330|5
1|315|3
1|315|0
1|306|2
2|309|6
2|300|0
2|333|1
2|306|6
2|327|5
3|336|6
3|315|4
3|315|5
3|342|5
3|309|1
4|306|5
4|348|5
4|333|0
4|312|3
4|306|4
5|348|0
5|336|4
5|321|1
5|318|0
5|312|0
6|321|0
6|342|6
6|345|3
6|342|4
6|324|5
7|318|3
7|327|4
7|345|3
7|324|0
7|300|5
8|333|3
8|324|2
8|342|0
8|306|2
8|339|5
9|321|2
9|309|6
9|345|2
9|339|0
9|342|3
10|306|0
10|312|1
10|315|3
10|327|6
10|318|4
11|309|5
11|318|6
11|306|1
11|336|4
11|315|1
12|312|0
12|318|4
12|318|1
12|345|5
12|309|3
13|306|4
13|306|6
13|312|0
13|306|1
13|309|2
14|324|4
14|345|3
14|348|4
14|324|6
14|300|2
15|333|1
15|339|0
15|315|3
15|315|1
15|318|2
16|330|3
16|309|1
16|330|5
16|324|3
16|321|6
17|339|3
17|345|0
17|339|5
17|327|0
17|321|0
18|324|2
18|300|4
18|318|0
18|318|1
18|300|5
19|309|0
19|321|4
19|318|5
19|303|4
19|309|6
20|306|6
20|345|4
20|312|0
20|306|0
20|339|4
21|303|5
21|303|5
21|336|5
21|318|6
21|336|3
22|303|4
22|324|1
22|312|6
22|345|2
22|309|5
23|312|0
23|321|3
23|345|3
23|330|5
23|324|5
24|306|0
24|324|1
24|309|2
24|300|4
24|318|1
25|321|3
25|342|3
25|336|0
25|333|1
25|303|5
26|318|3
26|330|2
26|345|4
26|345|5
26|321|3
27|345|1
27|348|3
27|330|6
27|318|6
27|309|4
28|312|0
28|312|4
28|315|4
28|303|5
28|306|5
29|303|4
29|333|2
29|309|6
29|330|4
29|345|4
30|327|1
30|318|2
30|336|4
30|321|5
30|330|0
31|315|4
31|309|0
31|342|0
31|333|0
31|336|1
32|345|6
32|321|4
32|339|5
32|339|4
32|309|6
33|345|4
33|318|6
33|342|0
33|333|0
33|318|2
34|348|3
34|315|1
34|327|5
34|336|3
34|315|5
35|303|4
35|330|3
35|321|6
35|306|1
35|327|2
36|333|5
36|312|6
36|309|2
36|339|5
36|339|2
37|339|2
37|312|2
37|336|0
37|303|5
37|339|6
38|336|4
38|312|3
38|300|4
38|303|6
38|303|0
39|321|0
39|318|3
39|324|1
39|315|2
39|345|2
40|315|2
40|303|5
40|339|2
40|330|3
40|306|0
41|303|5
41|303|6
41|333|0
41|303|5
41|321|4
42|300|5
42|342|4
42|303|5
42|327|0
42|348|2
43|342|2
43|312|6
43|300|3
43|300|3
43|327|1
44|309|4
44|327|1
44|306|2
44|309|6
44|330|4
45|345|4
45|315|3
45|345|6
45|348|5
45|333|6
46|318|6
46|315|5
46|300|4
46|303|4
46|336|4
47|333|1
47|327|0
47|345|4
47|342|5
47|333|6
48|303|5
48|336|2
48|330|4
48|336|6
48|309|4
49|348|3
49|303|6
49|348|4
49|345|1
49|348|4
50|318|1
50|339|2
50|306|2
50|333|1
50|309|2
51|321|5
51|339|4
51|315|5
51|324|0
51|348|5
52|315|2
52|306|4
52|342|2
52|324|4
52|315|2
53|342|6
53|330|1
53|312|3
53|342|2
53|345|0
54|348|6
54|336|2
54|315|4
54|336|4
54|300|4
55|300|0
55|342|5
55|324|2
55|324|1
55|333|1
56|324|1
56|327|2
56|306|5
56|339|0
56|300|3
57|303|0
57|342|3
57|324|3
57|324|6
57|300|2
58|327|4
58|318|4
58|339|6
58|321|5
58|336|5
59|327|1
59|333|3
59|312|3
59|312|2
59|339|0
60|312|2
60|303|6
60|312|5
60|306|4
60|321|2
61|348|4
61|348|1
61|318|2
61|306|5
61|330|6
62|336|4
62|333|3
62|327|1
62|321|0
62|321|5
63|342|4
63|306|3
63|321|3
63|327|0
63|324|3
64|342|4
64|306|3
64|324|1
64|333|5
64|348|0
65|330|5
65|306|0
65|309|5
65|339|2
65|336|0
66|306|4
66|336|1
66|306|0
66|315|2
66|300|2
67|312|6
67|309|5
67|318|5
67|348|0
67|312|1
68|300|2
68|318|1
68|339|5
68|312|4
68|324|4
69|345|5
